company_id,company_name,industry,company_size,hq_city
1,"Rodriguez, Figueroa and Sanchez",software,startup,Austin
2,Doyle Ltd,fintech,enterprise,Denver
3,"Mcclain, Miller and Henderson",fintech,startup,Boston
4,Davis and Sons,logistics,startup,Chicago
5,"Guzman, Hoffman and Baldwin",logistics,growth,Boston
6,"Gardner, Robinson and Lawrence",retail,growth,Atlanta
7,Blake and Sons,software,enterprise,Atlanta
8,"Henderson, Ramirez and Lewis",fintech,enterprise,Chicago
9,Garcia-James,healthcare,growth,Boston
10,Abbott-Munoz,software,enterprise,Austin
11,Blair PLC,logistics,growth,Chicago
12,Dudley Group,retail,growth,Denver
13,Arnold Ltd,fintech,growth,Denver
14,"Mcclure, Ward and Lee",fintech,enterprise,Denver
15,Williams and Sons,fintech,startup,Austin
16,Galloway-Wyatt,fintech,startup,Chicago
17,James Group,logistics,growth,Austin
18,"Flowers, Martin and Kelly",software,enterprise,Atlanta
19,"Adams, Zuniga and Wong",retail,enterprise,Denver
20,"Reid, Ferguson and Sanchez",logistics,enterprise,Atlanta
21,Gray-Mayo,logistics,enterprise,Atlanta
22,"Watts, Robinson and Nguyen",healthcare,enterprise,Seattle
23,Perez Inc,software,growth,Atlanta
24,Morales-Jones,retail,growth,Atlanta
25,"Walter, Edwards and Rios",fintech,enterprise,Atlanta
26,Wilkerson-Day,fintech,growth,Atlanta
27,Baker and Sons,logistics,growth,Atlanta
28,"Hoffman, Baker and Richards",retail,startup,Chicago
29,"Ross, Robinson and Bright",logistics,enterprise,Chicago
30,"Snyder, Campos and Callahan",logistics,growth,Seattle
31,Burton Ltd,logistics,enterprise,Denver
32,Carlson-Cruz,healthcare,growth,Atlanta
33,"Ferrell, Rice and Maddox",software,startup,Chicago
34,Frazier Inc,logistics,enterprise,Denver
35,"Dyer, Potter and Mack",retail,startup,Atlanta
36,Rodriguez-Graham,software,startup,Atlanta
37,Smith-Bowen,retail,growth,Atlanta
38,"Baker, Mason and White",retail,enterprise,Denver
39,Harrell LLC,healthcare,startup,Boston
40,"Romero, Gonzalez and Brooks",fintech,growth,Atlanta
41,Ryan PLC,software,enterprise,Seattle
42,George Group,fintech,enterprise,Seattle
43,Rodriguez LLC,fintech,growth,Atlanta
44,Allen-Allen,healthcare,startup,Boston
45,"Arroyo, Miller and Tucker",software,startup,Austin
46,Spence PLC,retail,startup,Boston
47,Anderson Group,logistics,startup,Boston
48,"Martin, Rose and Obrien",retail,enterprise,Atlanta
49,Hickman Ltd,fintech,startup,Seattle
50,"Harris, Collins and Carney",fintech,growth,Atlanta
51,"Brooks, Lam and Hayes",fintech,enterprise,Chicago
52,Walker LLC,software,growth,Seattle
53,Chapman and Sons,healthcare,startup,Chicago
54,"Robinson, Jones and Welch",logistics,enterprise,Chicago
55,Jones Inc,logistics,enterprise,Atlanta
56,Jones-Young,software,enterprise,Boston
57,"Washington, Ryan and Cummings",logistics,startup,Denver
58,"Johnston, Sanchez and Kennedy",software,startup,Denver
59,Lee-Davis,fintech,enterprise,Austin
60,Gomez-Jenkins,fintech,growth,Austin
61,"Brown, Valdez and Lucas",retail,growth,Austin
62,Powell LLC,fintech,growth,Austin
63,Wright and Sons,healthcare,growth,Boston
64,"West, Henderson and Ramirez",retail,enterprise,Boston
65,Baxter Inc,logistics,growth,Seattle
66,Morton-Chase,healthcare,enterprise,Austin
67,Williams PLC,retail,startup,Austin
68,Novak and Sons,healthcare,growth,Chicago
69,Russell Group,software,growth,Atlanta
70,Hancock Inc,logistics,startup,Denver
71,Gray Group,fintech,startup,Denver
72,House-Glover,software,growth,Chicago
73,Henderson-Bernard,logistics,enterprise,Seattle
74,"Stanley, Tucker and Lee",software,growth,Chicago
75,Novak PLC,fintech,enterprise,Austin
76,"Daniels, Adkins and Brown",logistics,enterprise,Seattle
77,"Woods, Calhoun and Schmidt",healthcare,growth,Boston
78,Yu Inc,healthcare,enterprise,Austin
79,Jones Inc,logistics,startup,Denver
80,"Hensley, Powell and David",fintech,startup,Seattle
81,"Sanchez, Wheeler and Harvey",retail,enterprise,Seattle
82,Sandoval-Cunningham,logistics,enterprise,Boston
83,Donovan-Harris,software,startup,Denver
84,"Edwards, Baker and Anderson",retail,growth,Denver
85,"Evans, Stewart and Walton",fintech,growth,Seattle
86,Smith PLC,fintech,enterprise,Austin
87,"Ferrell, Jones and Lewis",software,growth,Chicago
88,Anderson-Bailey,healthcare,growth,Atlanta
89,Suarez LLC,fintech,growth,Seattle
90,Moore-Bass,retail,growth,Austin
91,"Turner, Riggs and Roman",logistics,growth,Atlanta
92,"Smith, Montoya and Evans",retail,enterprise,Denver
93,"Garcia, Humphrey and Baker",retail,growth,Atlanta
94,Newton and Sons,healthcare,growth,Boston
95,Campbell-Clark,retail,startup,Austin
96,Harris-Walters,healthcare,enterprise,Boston
97,Wagner-King,healthcare,enterprise,Denver
98,Davis Group,fintech,startup,Seattle
99,Williams-Cook,fintech,startup,Denver
100,Walsh LLC,software,growth,Chicago
101,Figueroa PLC,retail,startup,Seattle
102,"Patterson, Smith and Jones",software,enterprise,Seattle
103,"Mckee, Gardner and Davenport",retail,growth,Austin
104,"Tran, Jordan and Williams",software,startup,Seattle
105,Nolan-Flynn,fintech,enterprise,Seattle
106,Nolan and Sons,fintech,startup,Denver
107,"Wright, Garcia and Deleon",fintech,growth,Boston
108,Dickson-Brady,fintech,startup,Atlanta
109,Hancock and Sons,logistics,startup,Denver
110,Johnson-Doyle,fintech,startup,Austin
111,Patton-Jenkins,healthcare,startup,Seattle
112,"Shields, Cochran and Adams",fintech,startup,Chicago
113,"Rodriguez, Brennan and Garrison",logistics,startup,Seattle
114,Gonzalez Group,logistics,growth,Atlanta
115,Torres-Pope,logistics,enterprise,Denver
116,Walker Ltd,logistics,growth,Austin
117,Ross LLC,software,growth,Seattle
118,Rasmussen LLC,software,growth,Austin
119,May-Ross,healthcare,enterprise,Denver
120,"Rivera, Johnson and Wiley",software,enterprise,Boston
121,White-Estes,logistics,startup,Boston
122,Johnson-Carlson,fintech,startup,Boston
123,Chandler-Edwards,fintech,startup,Boston
124,"Joyce, Wilson and Lam",logistics,growth,Atlanta
125,Scott Ltd,retail,growth,Chicago
126,Smith-Frost,logistics,growth,Boston
127,"Mcdaniel, Bentley and Mclaughlin",software,startup,Seattle
128,Diaz Inc,fintech,growth,Boston
129,"Mccall, Hanson and Alvarado",logistics,growth,Atlanta
130,Cortez LLC,fintech,startup,Austin
131,"Parker, Ortiz and Powell",logistics,enterprise,Atlanta
132,Spencer-Lee,logistics,startup,Denver
133,"Bentley, Byrd and Orr",software,enterprise,Boston
134,"Carroll, Sullivan and Bass",logistics,startup,Denver
135,Mitchell-Jordan,fintech,enterprise,Chicago
